CustomerID,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Country,amount,Internal,recency,frequency,recency_log,frequency_log,amount_log
12367.0,580716,85227,SET OF 6 3D KIT CARDS FOR KIDS,173,2011-12-05 16:48:00,3.2,Denmark,168.9,No,4,1,1.3862943611198906,0.0,5.129306823813755
12374.0,576345,72741,GRAND CHOCOLATECANDLE,342,2011-11-14 15:37:00,4.21969696969697,Austria,742.9300000000001,No,25,1,3.2188758248682006,0.0,6.610601827628056
12390.0,567530,23126,FELTCRAFT GIRL AMELIE KIT,353,2011-09-21 09:33:00,3.996875,Belgium,549.84,No,80,1,4.382026634673881,0.0,6.30962732681335
12391.0,577228,22669,RED BABY BUNTING ,293,2011-11-18 12:07:00,2.416774193548387,Cyprus,439.66,No,22,1,3.091042453358316,0.0,6.086001700931971
12403.0,572184,84997D,CHILDRENS CUTLERY POLKADOT PINK,96,2011-10-21 10:51:00,7.080000000000001,Denmark,427.7,No,50,1,3.912023005428146,0.0,6.058422015232863
12420.0,570000,22066,LOVE HEART TRINKET POT,345,2011-10-07 08:55:00,4.707241379310345,Cyprus,600.39,No,64,1,4.1588830833596715,0.0,6.3975794440576434
12430.0,573108,23144,ZINC T-LIGHT HOLDER STARS SMALL,117,2011-10-27 15:09:00,6.225454545454546,Norway,256.4,No,43,1,3.7612001156935624,0.0,5.546738725046515
12442.0,580955,21974,SET OF 36 PAISLEY FLOWER DOILIES,182,2011-12-06 14:22:00,3.34,Spain,172.06,No,3,1,1.0986122886681098,0.0,5.147843253193202
12445.0,577125,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,62,2011-11-17 18:43:00,7.9875,Spain,133.4,No,22,1,3.091042453358316,0.0,4.893352133481524
12448.0,572886,22557,PLASTERS IN TIN VINTAGE PAISLEY ,243,2011-10-26 13:46:00,5.951818181818182,Spain,449.45,No,44,1,3.784189633918261,0.0,6.108024613019408
12475.0,571308,23310,BUBBLEGUM RING ASSORTED,535,2011-10-17 10:10:00,2.941111111111111,Germany,723.38,No,54,1,3.9889840465642745,0.0,6.583934671914352
12479.0,579152,21212,PACK OF 72 RETROSPOT CAKE CASES,385,2011-11-28 13:26:00,2.6687096774193546,Germany,527.2,No,11,1,2.3978952727983707,0.0,6.2675799831882975
12491.0,573868,20973,12 PENCIL SMALL TUBE WOODLAND,260,2011-11-01 12:18:00,3.376923076923077,France,460.40000000000003,No,39,1,3.6635616461296463,0.0,6.132095676847728
12492.0,564666,21578,WOODLAND DESIGN  COTTON TOTE BAG,192,2011-08-26 14:51:00,3.3475,Germany,263.21000000000004,No,63,2,4.143134726391533,0.6931471805599453,5.572952192650384
12512.0,569527,15058A,BLUE POLKADOT GARDEN PARASOL,96,2011-10-04 14:53:00,2.640322580645161,Israel,132.18,No,66,2,4.189654742026425,0.6931471805599453,4.8841646300423065
12519.0,570007,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,175,2011-10-07 09:26:00,3.093529411764706,Germany,330.84,No,64,1,4.1588830833596715,0.0,5.801634874823706
12522.0,571904,20979,36 PENCILS TUBE RED RETROSPOT,194,2011-10-19 14:41:00,5.0008333333333335,Germany,192.72,No,39,2,3.6635616461296463,0.6931471805599453,5.261238358306616
12531.0,578705,84988,SET OF 72 PINK HEART PAPER DOILIES,45,2011-11-25 11:12:00,3.8094117647058825,Germany,125.22,No,15,1,2.70805020110221,0.0,4.830072190317164
12532.0,575326,22340,NOEL GARLAND PAINTED ZINC ,153,2011-11-09 13:47:00,3.698125,France,349.83000000000004,No,30,1,3.4011973816621555,0.0,5.857447322200351
12538.0,575707,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,191,2011-11-10 17:16:00,3.6433333333333335,Spain,363.95,No,29,1,3.367295829986474,0.0,5.897016495564267
12544.0,574301,22960,JAM MAKING SET WITH JARS,136,2011-11-03 16:15:00,4.106315789473685,Spain,372.7,No,36,1,3.58351893845611,0.0,5.9207738064852125
12552.0,573508,84879,ASSORTED COLOUR BIRD ORNAMENT,88,2011-10-31 12:11:00,9.1155,Italy,437.82,No,39,2,3.6635616461296463,0.6931471805599453,6.081807867005583
12558.0,580158,22712,CARD DOLLY GIRL ,196,2011-12-02 10:41:00,1.25,USA,269.96,No,8,1,2.0794415416798357,0.0,5.598273799875206
12566.0,566739,21231,SWEETHEART CERAMIC TRINKET BOX,265,2011-09-14 14:30:00,3.903684210526316,Germany,351.65,No,86,1,4.454347296253507,0.0,5.862636362754027
12579.0,567915,20749,ASSORTED COLOUR MINI CASES,285,2011-09-22 17:15:00,3.3386206896551722,France,440.42,No,78,1,4.356708826689592,0.0,6.087728817078046
12581.0,573417,16016,LARGE CHINESE STYLE SCISSOR,161,2011-10-31 08:56:00,2.8926666666666665,Germany,197.71,No,40,1,3.6888794541139363,0.0,5.286801310586789
12586.0,578078,23154,SET OF 4 JAM JAR MAGNETS,79,2011-11-22 16:24:00,4.190909090909091,Italy,196.94000000000003,No,17,1,2.833213344056216,0.0,5.282899113819656
12587.0,580265,20713,JUMBO BAG OWLS,51,2011-12-02 12:47:00,11.56,Finland,144.0,No,8,1,2.0794415416798357,0.0,4.969813299576001
12588.0,573588,21843,RED RETROSPOT CAKE STAND,53,2011-10-31 15:01:00,9.58,Finland,214.89999999999998,No,39,1,3.6635616461296463,0.0,5.370172803648464
12602.0,570724,22622,BOX OF VINTAGE ALPHABET BLOCKS,162,2011-10-12 11:22:00,1.9708333333333332,France,153.12,No,59,1,4.07753744390572,0.0,5.031221927704644
12603.0,577168,22423,REGENCY CAKESTAND 3 TIER,63,2011-11-18 10:42:00,14.475,Germany,739.1999999999999,No,22,1,3.091042453358316,0.0,6.605568520327474
12604.0,547492,22138,BAKING SET 9 PIECE RETROSPOT ,201,2011-03-23 12:06:00,2.59125,France,254.18,No,79,2,4.3694478524670215,0.6931471805599453,5.538042677453924
12617.0,575661,20718,RED RETROSPOT SHOPPER BAG,210,2011-11-10 14:39:00,1.928780487804878,France,352.98,No,29,1,3.367295829986474,0.0,5.86641139810442
12618.0,577178,23480,MINI LIGHTS WOODLAND MUSHROOMS,96,2011-11-18 11:10:00,6.6381818181818195,Italy,177.31,No,22,1,3.091042453358316,0.0,5.177899613068897
12631.0,571053,23245,SET OF 3 REGENCY CAKE TINS,236,2011-10-13 13:53:00,4.537096774193548,Finland,640.5,No,57,1,4.04305126783455,0.0,6.4622491213367885
12638.0,574690,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,577,2011-11-06 13:11:00,2.56,Sweden,671.69,No,33,1,3.4965075614664802,0.0,6.509796924563367
