InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536508,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,12/1/2010 12:38,1.06,17181.0,United Kingdom
536508,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,12/1/2010 12:38,0.55,17181.0,United Kingdom
536563,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,12/1/2010 15:08,0.42,17760.0,United Kingdom
536563,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,10,12/1/2010 15:08,0.85,17760.0,United Kingdom
536563,22798,ANTIQUE GLASS DRESSING TABLE POT,4,12/1/2010 15:08,2.95,17760.0,United Kingdom
536563,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4,12/1/2010 15:08,3.75,17760.0,United Kingdom
536563,21818,GLITTER CHRISTMAS HEART ,36,12/1/2010 15:08,0.85,17760.0,United Kingdom
536563,22976,CIRCUS PARADE CHILDRENS EGG CUP ,24,12/1/2010 15:08,1.25,17760.0,United Kingdom
536563,21452,TOADSTOOL MONEY BOX,10,12/1/2010 15:08,2.95,17760.0,United Kingdom
536563,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,4,12/1/2010 15:08,2.1,17760.0,United Kingdom
536563,22941,CHRISTMAS LIGHTS 10 REINDEER,1,12/1/2010 15:08,8.5,17760.0,United Kingdom
536838,15036,ASSORTED COLOURS SILK FAN,24,12/2/2010 18:23,0.75,14865.0,United Kingdom
536838,72232,FENG SHUI PILLAR CANDLE,48,12/2/2010 18:23,0.19,14865.0,United Kingdom
536838,40016,CHINESE DRAGON PAPER LANTERNS,24,12/2/2010 18:23,0.42,14865.0,United Kingdom
537036,22660,DOORMAT I LOVE LONDON,1,12/3/2010 17:28,7.95,15545.0,United Kingdom
537036,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,12/3/2010 17:28,2.1,15545.0,United Kingdom
537036,79067,CORONA MEXICAN TRAY,1,12/3/2010 17:28,3.75,15545.0,United Kingdom
537036,21360,JOY LARGE WOOD LETTERS,1,12/3/2010 17:28,9.95,15545.0,United Kingdom
537036,22076,6 RIBBONS EMPIRE  ,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,85049G,CHOCOLATE BOX RIBBONS ,1,12/3/2010 17:28,1.25,15545.0,United Kingdom
537036,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,12/3/2010 17:28,1.25,15545.0,United Kingdom
537036,85049E,SCANDINAVIAN REDS RIBBONS,1,12/3/2010 17:28,1.25,15545.0,United Kingdom
537036,22077,6 RIBBONS RUSTIC CHARM,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,22467,GUMBALL COAT RACK,1,12/3/2010 17:28,2.55,15545.0,United Kingdom
537036,22088,PAPER BUNTING COLOURED LACE,1,12/3/2010 17:28,2.95,15545.0,United Kingdom
537036,22037,ROBOT BIRTHDAY CARD,12,12/3/2010 17:28,0.42,15545.0,United Kingdom
537036,22024,RAINY LADIES BIRTHDAY CARD,12,12/3/2010 17:28,0.42,15545.0,United Kingdom
537036,20697,LITTLE GREEN MONSTER SOFT TOY,1,12/3/2010 17:28,2.55,15545.0,United Kingdom
537036,20699,MOUSEY LONG LEGS SOFT TOY,1,12/3/2010 17:28,2.55,15545.0,United Kingdom
537036,22671,FRENCH LAUNDRY SIGN BLUE METAL,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,84792,ENCHANTED BIRD COATHANGER 5 HOOK,1,12/3/2010 17:28,4.65,15545.0,United Kingdom
537036,22551,PLASTERS IN TIN SPACEBOY,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,22556,PLASTERS IN TIN CIRCUS PARADE ,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,22555,PLASTERS IN TIN STRONGMAN,1,12/3/2010 17:28,1.65,15545.0,United Kingdom
537036,22117,METAL SIGN HER DINNER IS SERVED ,1,12/3/2010 17:28,2.95,15545.0,United Kingdom
537036,82581,TOILET METAL SIGN,1,12/3/2010 17:28,0.55,15545.0,United Kingdom
537036,82580,BATHROOM METAL SIGN,1,12/3/2010 17:28,0.55,15545.0,United Kingdom
537036,82551,LAUNDRY 15C METAL SIGN,1,12/3/2010 17:28,1.45,15545.0,United Kingdom
537036,22625,RED KITCHEN SCALES,1,12/3/2010 17:28,8.5,15545.0,United Kingdom
537036,22616,PACK OF 12 LONDON TISSUES ,12,12/3/2010 17:28,0.29,15545.0,United Kingdom
537036,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/3/2010 17:28,1.69,15545.0,United Kingdom
537036,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,12/3/2010 17:28,4.95,15545.0,United Kingdom
537036,22837,HOT WATER BOTTLE BABUSHKA ,5,12/3/2010 17:28,4.65,15545.0,United Kingdom
537036,35004C,SET OF 3 COLOURED  FLYING DUCKS,1,12/3/2010 17:28,5.45,15545.0,United Kingdom
537036,85135C,RED DRAGONFLY HELICOPTER,1,12/3/2010 17:28,7.95,15545.0,United Kingdom
537176,22556,PLASTERS IN TIN CIRCUS PARADE ,2,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,22553,PLASTERS IN TIN SKULLS,4,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,21915,RED  HARMONICA IN BOX ,1,12/5/2010 13:26,1.25,16411.0,United Kingdom
537176,22231,JIGSAW TREE WITH BIRDHOUSE,1,12/5/2010 13:26,1.45,16411.0,United Kingdom
537176,21484,CHICK GREY HOT WATER BOTTLE,1,12/5/2010 13:26,3.45,16411.0,United Kingdom
537176,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,12/5/2010 13:26,2.95,16411.0,United Kingdom
537176,21657,MILK BOTTLE WITH GLASS STOPPER ,3,12/5/2010 13:26,6.95,16411.0,United Kingdom
537176,22312,OFFICE MUG WARMER POLKADOT,1,12/5/2010 13:26,2.95,16411.0,United Kingdom
537176,21156,RETROSPOT CHILDRENS APRON,3,12/5/2010 13:26,1.95,16411.0,United Kingdom
537176,22367,CHILDRENS APRON SPACEBOY DESIGN,3,12/5/2010 13:26,1.95,16411.0,United Kingdom
537176,21212,PACK OF 72 RETROSPOT CAKE CASES,3,12/5/2010 13:26,0.55,16411.0,United Kingdom
537176,22417,PACK OF 60 SPACEBOY CAKE CASES,3,12/5/2010 13:26,0.55,16411.0,United Kingdom
537176,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,12/5/2010 13:26,1.25,16411.0,United Kingdom
537176,22557,PLASTERS IN TIN VINTAGE PAISLEY ,3,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,22555,PLASTERS IN TIN STRONGMAN,6,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,22556,PLASTERS IN TIN CIRCUS PARADE ,3,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,22551,PLASTERS IN TIN SPACEBOY,3,12/5/2010 13:26,1.65,16411.0,United Kingdom
537176,22792,FLUTED ANTIQUE CANDLE HOLDER,12,12/5/2010 13:26,0.85,16411.0,United Kingdom
537176,22697,GREEN REGENCY TEACUP AND SAUCER,1,12/5/2010 13:26,2.95,16411.0,United Kingdom
537176,21754,HOME BUILDING BLOCK WORD,3,12/5/2010 13:26,5.95,16411.0,United Kingdom
537844,22112,CHOCOLATE HOT WATER BOTTLE,1,12/8/2010 15:17,4.95,17999.0,United Kingdom
537844,21587,COSY HOUR GIANT TUBE MATCHES,1,12/8/2010 15:17,2.55,17999.0,United Kingdom
537844,22502,PICNIC BASKET WICKER SMALL,1,12/8/2010 15:17,5.95,17999.0,United Kingdom
537844,21935,SUKI  SHOULDER BAG,1,12/8/2010 15:17,1.65,17999.0,United Kingdom
537844,21733,RED HANGING HEART T-LIGHT HOLDER,1,12/8/2010 15:17,2.95,17999.0,United Kingdom
537844,21110,LARGE CAKE TOWEL PINK SPOTS,1,12/8/2010 15:17,6.75,17999.0,United Kingdom
537844,22098,BOUDOIR SQUARE TISSUE BOX,1,12/8/2010 15:17,1.25,17999.0,United Kingdom
537844,62018,SOMBRERO ,1,12/8/2010 15:17,1.95,17999.0,United Kingdom
537844,22795,SWEETHEART RECIPE BOOK STAND,1,12/8/2010 15:17,6.75,17999.0,United Kingdom
537844,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,12/8/2010 15:17,2.95,17999.0,United Kingdom
537844,22471,TV DINNER TRAY AIR HOSTESS ,1,12/8/2010 15:17,4.95,17999.0,United Kingdom
537844,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/8/2010 15:17,4.95,17999.0,United Kingdom
537844,21287,SCENTED VELVET LOUNGE CANDLE ,12,12/8/2010 15:17,1.25,17999.0,United Kingdom
537844,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,12/8/2010 15:17,2.95,17999.0,United Kingdom
537844,22198,LARGE POPCORN HOLDER ,1,12/8/2010 15:17,1.65,17999.0,United Kingdom
537844,85136A,YELLOW SHARK HELICOPTER,1,12/8/2010 15:17,7.95,17999.0,United Kingdom
537844,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1,12/8/2010 15:17,2.95,17999.0,United Kingdom
537844,85230B,CINNAMON SCENTED VOTIVE CANDLE,24,12/8/2010 15:17,0.29,17999.0,United Kingdom
537844,85174,S/4 CACTI CANDLES,1,12/8/2010 15:17,4.95,17999.0,United Kingdom
537844,72232,FENG SHUI PILLAR CANDLE,2,12/8/2010 15:17,0.19,17999.0,United Kingdom
537844,71215,METAL BASE FOR CANDLES,1,12/8/2010 15:17,0.42,17999.0,United Kingdom
537844,20886,BOX OF 9 PEBBLE CANDLES,2,12/8/2010 15:17,1.95,17999.0,United Kingdom
537844,22867,HAND WARMER BIRD DESIGN,1,12/8/2010 15:17,2.1,17999.0,United Kingdom
537844,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/8/2010 15:17,0.95,17999.0,United Kingdom
537844,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,2,12/8/2010 15:17,2.95,17999.0,United Kingdom
537844,20695,FLORAL BLUE MONSTER,1,12/8/2010 15:17,4.25,17999.0,United Kingdom
537844,84508A,CAMOUFLAGE DESIGN TEDDY,1,12/8/2010 15:17,2.55,17999.0,United Kingdom
537844,48173C,DOORMAT BLACK FLOCK ,1,12/8/2010 15:17,7.95,17999.0,United Kingdom
